20a0 20e0
00 1520: "{e8:1521:      (a0) } {9d:1522:LOCKE(c4)D} {e6:1523:        (a0) } "
01 1524: "[ef]{19:1526:IT(d3)S} {df:1527:VER(d9)Y} {2c:1528:DAR(cb)K} {cd:1529:I(ce)N} {2d:152a:HER(c5)E} {e6:152b:        (a0) } "
02 152c: "{e9:152d:     (a0) } {d6:152e:TO(cf)O} HEAVY {e6:1535:        (a0) } "
03 1536: "[ef]{a0:1538:MESSAG(c5)E} {3e:1539:FRO(cd)M} {b4:153a:PALYA(d2)R} {02:153b:(d3)S} "
04 153c: "{a0:153d:MESSAG(c5)E} {3e:153e:FRO(cd)M} {9f:153f:MECHANOI(c4)D} {02:1540:(d3)S} "
05 1541: "[ef]{0a:1543:- - (8d)-} {dd:1544:JO(c2)B} {ac:1545:OFFE(d2)R} {0a:1546:- - (8d)-} "
06 1547: "{e8:1548:      (a0) } CHEESE {e7:1550:       (a0) } "
07 1551: "{eb:1552:   (a0) } {a0:1553:MESSAG(c5)E} {38:1554:EN(c4)D} {02:1555:(d3)S} "
08 1556: "{ee:1557:(a0) } {26:1558:COMMUNICATIO(ce)N} {c1:1559:ROO(cd)M} "
09 155a: "{e8:155b:      (a0) } {0e:155c:HANGE(d2)R} {e6:155d:        (a0) } "
0a 155e: "{e8:155f:      (a0) } {d4:1560:KITCHE(ce)N} "
0b 1561: "{ea:1562:    (a0) } {36:1563:ENGIN(c5)E} {c1:1564:ROO(cd)M} "
0c 1565: "{e9:1566:     (a0) } {9f:1567:MECHANOI(c4)D} {e9:1568:     (a0) } "
0d 1569: "[ef]{b4:156b:PALYA(d2)R} {1e:156c:BRIE(c6)F} {03:156d:IN(c7)G} {c1:156e:ROO(cd)M} "
0e 156f: "{ec:1570:  (a0) } {ba:1571:CONFERENC(c5)E} {c1:1572:ROO(cd)M} "
0f 1573: "{bc:1574:THE PALYAR COMMANDER#(d3)S} {ec:1575:  (a0) } {1f:1576:BROTHER-IN-LA(d7)W} {02:1577:(d3)S} {c1:1578:ROO(cd)M} {e6:1579:        (a0) } "
10 157a: "{ec:157b:  (a0) } PHOTON EMITTER {e6:158b:        (a0) } "
11 158c: "{dc:158d:YO(d5)U} {3a:158e:HAV(c5)E} [f8]{25:1590:CREDIT(d3)S} "
12 158c: "{dc:158d:YO(d5)U} {3a:158e:HAV(c5)E} [f8]{25:1590:CREDIT(d3)S} "
13 158c: "{dc:158d:YO(d5)U} {3a:158e:HAV(c5)E} [f8]{25:1590:CREDIT(d3)S} "
14 158c: "{dc:158d:YO(d5)U} {3a:158e:HAV(c5)E} [f8]{25:1590:CREDIT(d3)S} "
15 158c: "{dc:158d:YO(d5)U} {3a:158e:HAV(c5)E} [f8]{25:1590:CREDIT(d3)S} "
16 1591: "{e9:1592:     (a0) } EXCHEQUER "
17 159d: "{dc:159e:YO(d5)U} {3a:159f:HAV(c5)E} {0c:15a0:JUS(d4)T} {30:15a1:DESTRO(d9)Y} {04:15a2:E(c4)D} "
18 15a3: "{ec:15a4:  (a0) } ANTI TIME BOMB {eb:15b4:   (a0) } "
19 15b5: "{e9:15b6:     (a0) } {a7:15b7:NOVADRIV(c5)E} {e9:15b8:     (a0) } "
1a 15b9: "{ec:15ba:  (a0) } METAL DETECTOR {eb:15ca:   (a0) } "
1b 15cb: "{e9:15cc:     (a0) } {15:15cd:ANTIGRA(d6)V} {e8:15ce:      (a0) } "
1c 15cf: "{e9:15d0:     (a0) } POWERAMP {e8:15da:      (a0) } "
